match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win,strong_predict
2205847,2022-10-03-21-45,Ostrava WTA,wta,1. round,indoors,2,2,0.86,Viktoria Azarenka,Belarus,180,60,33,24,1,20,11,0,0,594,228,42,17,-3.88,3,-,2.03,6,Ekaterina Alexandrova,Russia,180,66,27,21,21,32,16,1,1,413,236,143,61,1.1,0,-,1.86,7
2207183,2022-10-03-21-55,Monastir,wta,1. round,hard,2,1,-1,Magda Linette,Poland,171,59,30,55,33,34,25,19,13,452,326,185,140,2.53,0,1772,1.21,6,Lucrezia Stefanini,Italy,-,-,24,152,149,31,25,15,6,251,191,63,38,-3.31,0,1523,4.78,9
2205743,2022-10-03-22-10,Astana,atp,1. round,indoors,2,1,-1,Felix Auger Aliassime,Canada,193,88,22,13,8,41,24,9,2,266,160,46,28,3.06,3,-,1.44,6,Roberto Bautista-Agut,Spain,183,75,34,21,9,34,14,1,1,740,436,110,78,2.71,1,-,2.98,7
2207173,2022-10-03-22-45,Monastir,wta,1. round,hard,2,2,0.7,Ana Konjuh,Croatia,174,65,24,157,20,11,15,9,8,223,144,81,60,-5.44,0,1703,2.27,4,Claire Liu,USA,-,-,22,73,73,26,21,10,12,195,127,102,80,-2.73,1,1678,1.7,4
2206283,2022-10-04-00-00,Monastir,wta,1. round,hard,2,1,-1,Adina Cristian Jaqueline,Romania,180,-,24,82,58,10,9,9,7,250,172,90,58,1.26,0,-,3.34,6,Elise Mertens,Belgium,179,67,26,42,12,21,20,10,11,387,217,212,101,-6.59,0,1801,1.37,4
2205855,2022-10-04-00-15,Ostrava WTA,wta,1. round,indoors,2,1,-1,Madison Keys,USA,178,66,27,17,7,26,16,0,1,334,189,17,9,4.77,2,-,2.2,6,Elena Rybakina,Kazakhstan,184,73,23,26,12,35,18,1,1,238,116,56,23,-3.16,0,-,1.74,6
2207025,2022-10-04-00-25,Astana,atp,1. round,indoors,2,2,0.3,Laslo Djere,Serbia,188,82,27,76,27,25,24,2,2,347,238,24,37,-4.99,1,-,3.85,5,Andrey Rublev,Russia,188,70,24,9,5,40,15,7,1,380,208,103,56,1.31,3,-,1.3,6
2207149,2022-10-04-02-45,Ostrava WTA,wta,1. round,indoors,1,2,-1,Petra Kvitova,Czech Republic,183,70,32,20,2,24,17,1,1,631,280,121,46,-0.45,0,-,1.46,8,Bernarda Pera,USA,175,80,27,43,43,34,18,4,3,387,220,44,30,2.89,0,-,2.92,6
2206289,2022-10-04-03-05,Monastir,wta,1. round,hard,2,2,0.09,Laura Pigossi,Brazil,-,-,28,106,100,23,25,2,6,336,275,110,93,2.22,0,1413,8.94,3,Alize Cornet,France,173,60,32,37,11,22,22,12,12,549,432,217,181,8.59,0,1784,1.09,5
2205845,2022-10-04-05-00,Ostrava WTA,wta,1. round,indoors,2,1,-1,Belen Teichmann Jil,Switzerland,170,80,25,36,21,22,20,1,2,260,186,19,26,-2.31,0,-,1.93,4,Tereza Martincova,Czech Republic,179,64,27,78,40,20,24,2,2,424,327,114,79,-5.29,1,-,1.95,5
2205625,2022-10-04-12-10,Tokyo (Japan Open),atp,1. round,hard,1,2,-1,Woo Kwon Soon,South Korea,180,72,24,120,52,20,28,10,14,261,174,181,118,-11.03,0,-,4.23,4,Alex De Minaur,Australia,183,69,23,23,15,40,20,17,9,274,157,127,67,-1.38,1,1918,1.26,7
2205623,2022-10-04-12-10,Tokyo (Japan Open),atp,1. round,hard,1,2,-1,Mackenzie McDonald,USA,178,73,27,78,48,21,26,12,14,274,201,182,124,-12.93,1,-,1.2,4,Kaichi Uchida,Japan,180,74,28,155,155,28,27,17,17,331,307,189,182,1.14,0,1422,5.04,4
2206927,2022-10-04-13-45,Tokyo (Japan Open),atp,1. round,hard,2,2,0.46,Thanasi Kokkinakis,Australia,193,84,26,91,69,23,16,18,10,246,152,165,88,0.49,0,1755,2.91,4,Borna Coric,Croatia,188,85,25,28,12,20,14,8,4,292,204,135,84,6.87,0,1889,1.46,8
2205633,2022-10-04-14-55,Tokyo (Japan Open),atp,1. round,hard,2,2,0.34,Radu Albot,Moldavsko,175,69,32,86,39,36,26,21,11,590,435,252,147,-2.46,1,1658,3.53,7,Daniel Evans,Great Britain,175,75,32,25,22,29,23,18,12,571,354,253,145,0.02,3,1821,1.34,5
2207031,2022-10-04-15-10,Astana,atp,1. round,indoors,1,1,2.21,Pavel Kotov,Russia,191,86,23,103,103,33,16,8,4,212,127,84,47,9.27,0,-,3.21,8,Alejandro Davidovich Fokina,Spain,183,80,23,31,27,21,22,0,2,218,150,22,24,0.14,0,-,1.39,5
2205739,2022-10-04-15-10,Astana,atp,1. round,indoors,2,1,-1,Maxime Cressy,USA,201,88,25,32,31,32,25,1,3,199,129,67,31,4.99,0,-,2.22,4,Karen Khachanov,Russia,198,87,26,18,8,31,21,1,1,354,244,99,69,-0.12,0,-,1.72,6
2205619,2022-10-04-16-05,Tokyo (Japan Open),atp,1. round,hard,2,1,-1,Casper Ruud,Norway,183,77,23,3,2,48,18,18,7,320,179,72,47,0.85,3,2017,1.17,8,Jaume Munar,Spain,183,76,25,58,52,44,25,13,9,343,224,59,48,-4.41,0,1723,5.77,4
2205731,2022-10-04-16-55,Astana,atp,1. round,indoors,1,1,0.09,Stefanos Tsitsipas,Greece,193,89,24,6,3,49,18,6,3,426,201,68,39,-1.71,4,-,1.09,7,Mikhail Kukushkin,Kazakhstan,183,72,34,221,39,28,23,5,4,579,434,133,90,-0.26,0,-,8.81,4
2207027,2022-10-04-17-00,Astana,atp,1. round,indoors,2,2,0.65,Alexander Shevchenko,Russia,185,70,21,146,146,48,29,3,1,188,103,12,8,0.68,0,-,2.36,7,Luca Nardi,Italy,-,-,19,152,142,29,16,13,5,78,56,18,18,5.44,0,-,1.65,8
2206925,2022-10-04-17-35,Tokyo (Japan Open),atp,1. round,hard,1,1,0.94,Rio Noguchi,Japan,168,63,23,291,290,48,16,35,5,263,160,181,97,6.55,0,-,1.94,9,Ramkumar Ramanathan,India,188,80,27,297,111,12,27,4,9,436,353,252,173,-4.31,0,1419,1.94,4
2207945,2022-10-04-18-40,Astana,atp,1. round,indoors,2,1,-1,Carlos Alcaraz,Spain,185,72,19,1,1,52,12,0,0,168,50,10,3,2.9,1,-,1.13,8,David Goffin,Belgium,180,70,31,66,7,31,25,2,4,596,331,126,79,-2.87,0,-,7.18,4
2205635,2022-10-04-19-05,Tokyo (Japan Open),atp,1. round,hard,1,1,0.1,Nick Kyrgios,Australia,193,85,27,20,13,35,10,21,6,292,155,178,93,6.6,0,1996,1.1,7,Hsin Tseng Chun,Taipei (CHN),175,65,21,87,83,39,21,9,9,172,104,76,47,1.25,0,-,8.64,4
